LAKE_ID,FIN,WATER,Waterbody_Type,Alternate_Name,Type,Y_Coordinate,X_Coordinate
0202CHAXXX1,NA,Chadakoin River,RIVER/STREAM,NA,RIVER/STREAM,42.0933,-79.2441
0302UWBXXX3,NA,Unnamed Pond (Ellison Dog Park),LAKE,NA,CENTROID,43.149,-77.5178
0704UWBXXX1,NA,Unnamed Water (Victor),LAKE,NA,CENTROID,42.9962,-77.4098
0705UWBXXX1,NA,Unnamed Waterbody (Enfield),LAKE,NA,CENTROID,42.4032,-76.5663
1101CHAXXX1,NA,Champlain Canal,RIVER/STREAM,NA,RIVER/STREAM,43.2822,-73.559
1201UWBXXX2,NA,Unnamed Waterbody (Clark Mills),LAKE,NA,CENTROID,43.0947,-75.3345
1301EMPXXX1,NA,Empire State Plaza Reflecting Pool,OTHER,NA,CENTROID,42.6506,-73.7594
1304STEXXX1,NA,Stephen Blodgett Dam Pond,LAKE,NA,CENTROID,41.549,-73.8977
1702STRXXX1,NA,Strack Pond,LAKE,NA,CENTROID,40.6994,-73.8554
1304WESXXX1,NA,Westage Lake,LAKE,NA,CENTROID,41.5261,-73.8983
1201DUCXXX1,NA,Duck Pond,LAKE,NA,CENTROID,42.7978,-73.9094
1201STEXXX2,NA,Steinmetz Lake,LAKE,NA,CENTROID,42.829,-73.9149
0102ERIXXX1,NA,Erie Barge Canal,RIVER/STREAM,NA,RIVER/STREAM,43.038,-78.8267
0702HAMXXX1,NA,Hampshire Golf Lake,LAKE,NA,CENTROID,40.933,-73.738
1309UWBXXX1,NA,Unnamed Waterbody (Rensselaerville),LAKE,NA,CENTROID,42.51927,-74.1422
0301UWBXXX1,NA,Unnamed Waterbody (North Greece),LAKE,NA,CENTROID,43.253,-77.716
1702DEFXXX1,NA,DeForest Nature Park Pond,LAKE,NA,CENTROID,40.815,-73.326
0302UWBXXX2,NA,Unnamed Waterbody (Penfield),LAKE,NA,CENTROID,43.191,-77.431
1311NORXXX1,NA,Normans Kill,RIVER/STREAM,NA,RIVER/STREAM,42.625,-73.777
1701SOUXXX2,NA,South Jamesport Pond,LAKE,NA,CENTROID,40.94,-72.579
1305WAPXXX1,NA,Wappinger Creek,RIVER/STREAM,NA,RIVER/STREAM,41.595,-73.927
0301SYRXXX1,NA,Syren Creek,RIVER/STREAM,NA,RIVER/STREAM,43.371,-78.256
1301UWBXXX1,NA,Unnamed Waterbody (Colonie Crossings),LAKE,NA,CENTROID,42.719,-73.792
1101UWBXXX1,NA,Unnamed Waterbody (Snook Kill trib.),RIVER/STREAM,NA,RIVER/STREAM,43.143,-73.756
0702FREXXX1,NA,Fred Stafford Memorial Park Pond,LAKE,NA,CENTROID,42.9127,-76.1166
1702WOOXXX1,NA,Woodlands High School Pond,LAKE,NA,CENTROID,41.0323,-73.7976
